"Zelda DX TT BRK";40;True;False;1;0;1;1
32;322;1;38;44;38;0
33;69;171;15;40;38;9
34;453;212;24;22;38;5
35;35;171;33;40;38;0
36;1;171;33;40;38;0
37;474;130;29;40;38;5
38;479;1;33;44;38;0
39;441;212;11;22;38;5
40;437;1;20;44;38;9
41;416;1;20;44;38;5
42;416;212;24;22;38;5
43;449;130;24;40;38;5
44;83;1;11;45;38;5
45;370;212;24;31;38;5
46;437;130;11;40;38;5
47;301;1;20;44;38;5
48;412;130;24;40;38;5
49;396;130;15;40;38;9
50;366;130;29;40;38;5
51;85;171;29;40;38;5
52;336;130;29;40;38;5
53;272;130;29;40;38;5
54;247;130;24;40;38;5
55;222;130;24;40;38;5
56;192;130;29;40;38;5
57;167;130;24;40;38;9
58;151;130;15;40;38;5
59;42;1;15;45;38;5
60;126;130;24;40;38;5
61;345;212;24;36;38;5
62;149;171;24;40;38;5
63;62;130;29;40;38;5
64;267;1;33;44;38;0
65;302;130;33;40;38;0
66;115;171;33;40;38;0
67;408;171;33;40;38;0
68;174;171;33;40;38;0
69;60;212;33;40;38;0
70;94;212;33;40;38;0
71;196;212;33;40;38;0
72;162;212;33;40;38;0
73;294;212;24;40;38;5
74;230;212;33;40;38;0
75;264;212;29;40;38;0
76;35;212;24;40;38;0
77;128;212;33;40;38;0
78;476;171;33;40;38;0
79;442;171;33;40;38;0
80;1;212;33;40;38;0
81;374;171;33;40;38;0
82;340;171;33;40;38;0
83;306;171;33;40;38;0
84;276;171;29;40;38;5
85;242;171;33;40;38;0
86;208;171;33;40;38;0
87;1;130;33;40;38;0
88;92;130;33;40;38;0
89;458;89;29;40;38;5
90;357;89;33;40;38;0
91;386;1;29;44;38;5
92;458;1;20;44;38;5
93;1;48;29;44;38;5
94;490;212;15;17;38;9
95;58;1;24;45;38;5
96;478;212;11;17;38;5
97;127;48;24;40;38;5
98;177;48;24;40;38;5
99;244;48;20;40;38;5
100;265;48;29;40;38;5
101;152;48;24;40;38;5
102;320;48;29;40;38;5
103;242;1;24;44;38;5
104;223;48;20;40;38;5
105;202;48;20;40;38;9
106;150;1;29;44;38;0
107;295;48;24;40;38;5
108;111;48;15;40;38;9
109;81;48;29;40;38;5
110;56;48;24;40;38;5
111;31;48;24;40;38;5
112;95;1;24;44;38;5
113;361;1;24;44;38;5
114;437;89;20;40;38;9
115;375;48;24;40;38;5
116;416;89;20;40;38;9
117;391;89;24;40;38;5
118;350;48;24;40;38;5
119;327;89;29;40;38;5
120;302;89;24;40;38;5
121;120;1;29;44;38;5
122;277;89;24;40;38;5
123;180;1;24;44;38;5
124;205;1;11;44;38;9
125;217;1;24;44;38;5
126;395;212;20;31;38;5
127;243;89;33;40;38;0
161;224;89;18;40;38;5
191;193;89;30;40;38;5
193;1;1;40;46;38;0
201;158;89;34;40;38;0
205;132;89;25;40;38;0
209;97;89;34;40;38;0
211;62;89;34;40;38;0
218;27;89;34;40;38;0
225;1;89;25;40;38;5
233;473;48;25;40;38;5
237;455;48;17;40;38;5
241;427;48;27;40;38;5
243;400;48;26;40;38;5
250;35;130;26;40;38;5
252;319;212;25;40;38;5
